serialNo,catRecID,volRecID,serNoRecID,Title-Tibetan,"colophon "
M0005937,42805,1,1,"RJE BTZUN TZONG KHA PA'I RNAM THAR CHEN MO'I ZUR 'DEBS RNAM THAR LEGS BSHAD KUN 'DUS BZHUGS SO","@012B RJE BTZUN RED MDA' BA'I THUGS LAS 'KHRUGS PA'I SRAS BDUN
NI, NYID KYI ZHAL NAS, SBYANGS PA'I MCHOG GYUR KUN MKHYEN SHES
'OD DANG, SRAS GYI MCHOG GYUR BLO BZANG GRAGS PA'I DPAL, NYAMS
LEN MCHOG GYUR KUN DGA' DPAL BZANG PO, ,

SHES RAB MCHOG GYUR NYI MA RGYAL MTSAN DANG, ,BRTZE LDAN MCHOG
GYUR DPAL 'BYOR SHES RAB DANG, ,'CHAD MKHAS MCHOG GYUR BSOD NAMS
SHES RAB DANG, ,RTZOD PA MCHOG GYUR DAR MA RIN CHEN TE, ,GZHUNG

@013A *, ,LUGS RAB 'BYAMS SMRA BA'I BSHES GNYEN BDUN, ,ZHES
GSUNGS SO,, ` ,,SVA STI, RGYAL BSTAN PAD TSAL PHAN BDE'I DRI
BSUNG CAN, ,BSHAD SGRUB

'DAB RGYAS RNAM GROL SBRANG RTZI'I BCUD, ,'GRO KUN SPYOD PHYIR
DGA' LDAN THEG CHEN GLING, ,CHOS SDE CHE NAS CHOS SBYIN CHAR 'DI
SPEL, ,SARBA MANGGA LAm,,"
M0005938,42806,1,2,"RJE RIN PO CHE'I GSANG BA'I RNAM THAR RGYA MTSO LTA BU LAS CHA SHAS NYUNG NGU ZHIG YONGS SU BRJOD PA'I GTAM RIN PO CHE'I SNYE MA BZHUGS SO","@018A *, ,CES RGYAL BA THAMS CAD KYI MKHYEN BRTZE GCIG TU
BSDUS PA, LNGA BRGYA PA THAMS CAD KYI GTZUG GI NOR BU, SNYIGS
MA'I DUS 'DIR RGYAL BA'I BSTAN PA

@018B LA RGYAL BA NYID DANG MTSUNGS PA, SKYE DGU MA LUS PA'I
GNYEN GCIG PU, RNAL 'BYOR GYI DBANG PHYUG THAMS CAD MKHYEN PA
BLO BZANG GRAGS PA'I DPAL ZHES SA GSUM NA YONGS SU GSAL BA DE'I
ZHAL SNGA NAS KYI RNAM PAR THAR PA MCHOG GCIG TU

GSANG BA RGYA MTSO LTA BU LAS, CHA SHAS NYUNG NGU YONGS SU BRJOD
PA'I GTAM, RIN PO CHE'I SNYE MA ZHES BYA BA 'DI NI, DPAL LDAN
DAM PA DMIGS PA MED PA'I THUGS RJE CHEN PO DANG LDAN PA DE'I
ZHABS KYI PADMO LA GUS PAS GTUGS

PA'I DKA' DRIN GYIS NYE BAR 'TSO BA'I MANG DU THOS PA'I BTZUN PA
DGE LEGS DPAL BZANG POS, GRUB PA'I GNAS MCHOG PHYOGS THAMS CAD
LAS RNAM PAR RGYAL BA'I SDE CHEN PO 'BROG RI BO CHE DGE LDAN
RNAM PAR RGYAL BA'I GLING DU SBYAR

BA PHYOGS DUS THAMS CAD DU DGE ZHING BKRA SHIS PAR GYUR CIG ,
,SVA STI, RGYAL BSTAN PAD TSAL PHAN BDE'I DRI BSUNG CAN, ,BSHAD
SGRUB 'DAB RGYAS RNAM GROL SBRANG RTZI'I BCUD, , 'GRO KUN SPYOD
PHYIR DGA' LDAN THEG CHEN GLING, ,CHOS SDE CHE NAS CHOS SBYIN
CHAR 'DI SPEL, ,"
M0005939,42807,1,3,"RJE BTZUN BLA MA BLO BZANG GRAGS PA'I DPAL GYI GSANG BA'I RNAM THAR GSOL 'DEBS BZHUGS SO","@005B CES BSOD NAMS CHEN PO'I DPAL GYIS MTHO BA DRUNG GRAGS PA
DPAL BZANG PO SKU MCHED KYI GSUNG GIS BSKUL BA BZHIN GZHUNG LUGS
'BUM PHRAG DU MA LA BLO'I 'OD 'PHRO BA RIGS PA SMRA BA SH'AKYA'I
DGE SLONG BKRA SHIS DPAL LDAN

@006A *, ,GYIS DPAL LDAN 'BRAS SPUNGS CHOS KYI SDE CHEN POR
SBYAR BA'O,, ,,SVA STI, RGYAL BSTAN PAD TSAL PHAN BDE'I DRI
BSUNG CAN, ,BSHAD SGRUB 'DAB RGYAS RNAM GROL SBRANG RTZI'I BCUD,
,'GRO KUN SPYOD PHYIR DGA' LDAN THEG CHEN GLING, ,CHOS SDE CHE
NAS CHOS SBYIN CHAR 'DI SPEL, ,"
M0005940,42808,1,4,"LHO BRAG GRUB CHEN DANG MJAL TSUL, MKHAS GRUB RJE LA TSEMS GNANG SKOR BZHUGS SO","@005B SVA STI, RGYAL BSTAN PAD TSAL PHAN BDE'I DRI BSUNG CAN,
,BSHAD SGRUB 'DAB RGYAS RNAM GROL SBRANG RTZI'I BCUD, ,'GRO KUN
SPYOD PHYIR DGA' LDAN THEG CHEN GLING, ,CHOS SDE CHE NAS CHOS
SBYIN CHAR 'DI SPEL,,"
M0005941,42809,1,5,"BLA MA'I RNAL 'BYOR ZAB KHYAD CAN CHOS KYI RGYAL PO TZONG KHA PA CHEN POS MKHAS GRUB THAMS CAD MKHYEN PA LA GCIG BRGYUD KYI TSUL DU GNANG BA BZHUGS SO","@004A *, ,BLA MA'I RNAL 'BYOR ZAB KHYAD CAN 'DI NI, CHOS KYI
RGYAL PO TZONG KHA PA CHEN POS, MKHAS

GRUB THAMS CAD MKHYEN PA LA GCIG BRGYUD KYI TSUL DU GNANG BA'O,,
'DI'I BRGYUD PA NI RJE BTZUN 'JAM DBYANGS, CHOS KYI RGYAL PO
TZONG KHA PA CHEN PO, MKHAS GRUB THAMS CAD MKHYEN PA, RJE BA SO
BA, 'JAM DBYANGS KUN DGA' BDE

LEGS, RJE BTZUN CHOS KYI RGYAL MTSAN, RJE BTZUN BDE LEGS NYI MA,
RJE SHAR PA NAM MKHA' RGYAL MTSAN, ZHAL SNGA NAS DGE 'DUN RGYAL
MTSAN, DE NAS RIM PAR BRGYUD ZHAL SNGA NAS GRAGS PA RGYAL MTSAN,
DE NAS RIM PAR BRGYUD

@004B RDO RJE BLO GROS RIN CHEN LA'O,, ,,SHU BHAm MA STU SARBA
DZA GE TAm, SVA STI, RGYAL BSTAN PAD TSAL PHAN BDE'I DRI GSUNG
CAN, ,BSHAD SGRUB 'DAB RGYAS RNAM GROL SBRANG RTZI'I BCUD, ,'GRO
KUN SPYOD PHYIR DGA' LDAN THEG CHEN GLING, ,CHOS SDE CHE NAS
CHOS SBYIN CHAR 'DI SPEL,, ,,"
M0005942,42810,1,6,"RJE RIN PO CHE BLO BZANG GRAGS PA'I DPAL GYI GSAN YIG BZHUGS SO","@032B RJE THAMS CAD MKHYEN PA'I GSAN YIG 'DI, RJE NYID KYI
PHYAG BRIS LA MA PHYI BYAS PA LAS BRGYUD CING, 'DIR MA 'DUS PA'I
BKA' LUNG GSAN PA'I BRGYUD RIM DU MA YOD PAR SNANG YANG MA RNYED
DO,, ,,MANGGA LAm, SVA STI, RGYAL BSTAN PAD TSAL PHAN BDE'I DRI
GSUNG CAN, ,BSHAD SGRUB 'DAB RGYAS RNAM GROL SBRANG RTZI'I BCUD,
,'GRO KUN SPYOD PHYIR DGA' LDAN THEG CHEN GLING, ,CHOS SDE CHE
NAS CHOS SBYIN CHAR 'DI SPEL,, ,,"
M0005943,42811,1,7,"ZHU LAN SMAN MCHOG BDUD RTZI'I PHRENG BA BZHUGS SO","@016A *, , SVA STI, RGYAL BSTAN PAD TSAL PHAN BDE'I DRI GSUNG
CAN, ,BSHAD SGRUB 'DAB RGYAS RNAM GROL SBRANG RTZI'I BCUD, ,'GRO
KUN SPYOD PHYIR DGA' LDAN THEG CHEN GLING, ,CHOS SDE CHE NAS
CHOS SBYIN CHAR 'DI SPEL,, ,,"
M0005944,42812,1,8,"BLA MA LNGA BCU PA'I RNAM BSHAD SLOB MA'I RE BA KUN SKONG ZHES BYA BA BZHUGS SO","@030A *, ,CES SLOB DPON MKHAS PA CHEN PO BHA BI LHAS MDZAD
PA'I BLA MA LNGA BCU PA

RGYA GAR GYI MKHAN PO PADMA KA RA WARMA DANG, ZHU CHEN GYI LO
TZTSA BA DGE SLONG RIN CHEN BZANG POS RGYA SKAD LAS BOD KYI SKAD
DU BSGYUR CING TSIG DANG DON LA ZHI CHEN BYAS TE NYAN BSHAD KYIS
GTAN LA PHAB PA'I RNAM BSHAD SLOB MA'I RE BA KUN

SKONG ZHES BYA BA 'DI NI, GZHUNG 'DI LA RGYA GAR PA'I 'GREL PA
MI SNANG YANG 'DI GANG LAS GTZO CHER BTUS PA'I RGYUD DPAL GSANG
BA DUS PA DANG RDO RJE PHRENG BA DANG RDO RJE SNYING PO RGYUD
DANG RGYU 'PHRUL DRA BA DANG SAm BHU tA DANG RDO RJE GUR

DANG, RDO RJE MKHA' 'GRO DANG DPAL MCHOG DANG PO LA SOGS PA
RNAMS DANG, SNGAGS KYI BSTAN BCOS GZHAN RNAMS LA'ANG BRTEN NAS,
BSHES GNYEN BSTEN TSUL NYAMS SU LEN PAR 'DOD PA'I DON GNYER CAN
MANG PO

DANG 'JIG RTEN MGON PO CHOS KYI RJE DPAL 'BRIS GUNG PA ZHES
YONGS SU GRAGS PA'I GDUNG RGYUD DU 'KHRUNGS NAS 'GRO BA MTHA'
YAS PA'I 'DREN PAR GYUR PA GU SHRI CHEN PO DON GRUB RGYAL PO BA
DANG, RIG PA 'DZIN PA'I SDE SNOD

@030B LA SBYANGS PA'I RDO RJE 'DZIN PA CHEN PO BLA MA CHOS SGO
BA BKRA SHIS RIN CHEN PA RNAMS KYIS BSKUL ZHING, DUS PHYIS MDO
SNGAGS KYI BSTAN PA YONGS SU RDZOGS PA'I GNAD RNAMS MKHYEN NAS
GCIG TU BSTAN PA RIN PO CHE LA GCES

SPRAS SU MDZAD PA'I GNAS BRTAN MKHAS PA CHEN PO SKYABS MCHOG
DPAL BZANG PO'I GSUNG GIS NYE BAR BSKUL BA'I DON DU, DGE SLONG
RDO RJE 'DZIN PA BLO BZANG GRAGS PA'I DPAL GYIS BYANG RA SGRENG
RGYAL BA'I DBEN GNAS KYI YANG

DGON BRAG SENG GE'I ZHOL DU SBYAR PA'I YI GE PA NI, NANG RIG PA
SDE SNOD GSUM DANG GTAN TSIGS RIG PA'I TSUL LA SPOBS PA DGE BA
CAN SDOM BRTZON DAR MA RIN CHEN NO, ,'DI LA BRTEN NAS KYANG
BSTAN PA RIN PO CHE RGYAS PAR GYUR CIG ,

SARBA MANGGA LAm, ,SVA STI, RGYAL BSTAN PAD TSAL PHAN BDE'I DRI
GSUNG CAN, ,BSHAD SGRUB 'DAB RGYAS RNAM GROL SBRANG RTZI'I BCUD,
,'GRO KUN SPYOD PHYIR DGA' LDAN THEG CHEN GLING, ,CHOS SDE CHE
NAS CHOS SBYIN CHAR 'DI SPEL,, ,,"
M0005945,42813,1,9,"GSANG SNGAGS KYI TSUL KHRIMS KYI RNAM BSHAD DNGOS GRUB KYI SNYE MA ZHES BYA BA BZHUGS SO","@079B CES BYANG CHUB SEMS DPA' GSANG SNGAGS KYI SGO NAS BYANG
CHUB SEMS DPA'I SPYAD PA SPYOD PA RNAMS KYI TSUL KHRIMS KYI SLAB
PA YONGS SU DAG PAR

BYA BA'I TSUL RNAM PAR BSHAD PA DNGOS GRUB KYI SNYE MA ZHES BYA
BA 'DI NI, RDO RJE THEG PA'I BSLAB BYA LA SNYING NAS SLOB PAR
'DOD PA MANG PO DANG, 'JIG RTEN MGON PO CHOS KYI RJE 'BRI KHUNG
PA ZHES YONGS SU GRAGS PA'I GDUNG BRGYUD DU 'KHRUNGS

@080A *, ,NAS 'GRO BA DU MA'I 'DREN PAR GYUR PA GU SHRI CHEN PO
DON GRUB RGYAL PO BA DANG, RIG PA 'DZIN PA'I SDE SNOD LA SBYANGS
PA'I RDO RJE 'DZIN PA CHEN PO CHOS SGO BA BKRA SHIS RIN CHEN PA
DANG, MDO SNGAGS KYI BSTAN

PA MA LUS PA'I GNAD JI BZHIN DU MKHYEN NAS GCIG TU BSTAN PA RIN
PO CHE'I KHUR CHEN PO 'KHYER ZHING BSLAB PA RIN PO CHE LA CHES
CHER GCES SPRAS SU MDZAD PA'I YONGS SU RDZOGS PA'I BSHES GNYEN
CHEN PO SKAD GNYIS SMRA BA SKYABS MCHOG

DPAL BZANG PO'I GSUNG GIS NYE BAR BSKUL BA'I DON DU, SH'AKYA'I
DGE SLONG RDO RJE 'DZIN PA BLO BZANG GRAGS PA'I DPAL GYIS SNGAGS
KYI GZHUNG RAB 'BYAMS LAS BTUS NAS BYANG RVA SGRENG RGYAL BA'I
DBEN GNAS KYI YANG DGON BRAG SENG GE'I

ZHOL GYI RI KHROD DU SBYAR BA'I YI GE PA NI, NANG RIG PA'I SDE
SNOD GSUM DANG GTAN TSIGS RIG PA'I TSUL LA SPOBS PA DGE BA CAN
SDOM BRTZON DAR MA RIN CHEN NO, ,'DI LA BRTEN NAS KYANG BSTAN PA
RIN PO CHE RGYAS BAR GYUR CIG , ,,

SVA STI, RGYAL BSTAN PAD TSAL PHAN BDE'I DRI GSUNG CAN, ,BSHAD
SGRUB 'DAB RGYAS RNAM GROL SBRANG RTZI'I BCUD, ,'GRO KUN SPYOD
PHYIR BKRA SHIS CHOS 'PHEL GLING, ,CHOS SDE CHE NAS CHOS SBYIN
CHAR 'DI SPEL,, ,,"
M0005946,42814,1,10,"BYANG CHUB SEMS DPA'I TSUL KHRIMS GYI RNAM BSHAD BYANG CHUB GZHUNG LAM BZHUGS SO","@118B BYANG CHUB SEMS DPA'I SDOM PA BZUNG NAS TSUL KHRIMS KYI
PHUNG PO YONGS SU DAG PAR BYA BA'I TSUL RNAM PAR BSHAD PA BYANG
CHUB GZHUNG LAM ZHES BYA BA 'DI NI BYANG CHUB SEMS DPA'I SPYOD
PA LA MOS PA CUNG ZAD SKYES PA SH'AKYA'I DGE SLONG BLO BZANG
GRAGS PA'I DPAL GYIS RGYAL SRAS KYI SDOM PA BZUNG NAS BSLAB PA
LA SLOB PAR 'DOD PA RNAMS KYI DON DU BYANG RA SGRENG RGYAL PA'I
DBEN GNAS SU SBYAR BA'O, ,SVA STI, RGYAL BSTAN PAD TSAL PHAN
BDE'I DRI GSUNG CAN, ,BSHAD SGRUB 'DAB RGYAS RNAM GROL SBRANG
RTZI'I BCUD, ,'GRO KUN SPYOD PHYIR DGA' LDAN THEG CHEN GLING,
,CHOS SDE CHE NAS CHOS SBYIN CHAR 'DI SPEL,, ,,"
