volumeName_Tib,volumeName_Eng,volNdx,earliestFileDate,latestFileDate,workRecID,nCatItems,volumeRecID
KA,Ka,1,"2002-06-02 18:10:32","2002-06-24 23:12:46",1,47,1
KHA,Kha,2,"2002-06-02 18:10:32","2002-06-02 18:10:32",1,7,2
GA,Ga,3,"2002-06-02 18:10:32","2002-06-02 18:10:32",1,1,3
NGA,Nga,4,"2002-06-02 18:10:32","2002-06-02 18:10:32",1,1,4
CA,Ca,5,"2002-06-02 18:10:32","2002-06-02 18:10:32",1,10,5
CHA,Cha,6,"2002-06-13 17:46:44","2002-06-13 17:46:44",1,13,6
JA,Ja,7,"2002-06-02 18:10:32","2002-06-02 18:10:32",1,1,7
NYA,Nya,8,"2002-05-30 19:46:44","2002-05-30 19:46:44",1,6,8
TA,Ta,9,"2002-05-30 19:46:44","2002-05-30 19:46:44",1,9,9
THA,Tha,10,"2002-05-30 19:46:44","2002-05-30 19:46:44",1,14,10
DA,Da,11,"2002-06-13 17:46:44","2002-06-13 17:46:44",1,7,12
NA,Na,12,"2002-05-30 19:46:44","2002-05-30 19:46:44",1,12,13
PA,Pa,13,"2002-06-26 23:13:16","2002-06-26 23:13:16",1,1,14
PHA,Pha,14,"2002-08-26 21:13:16","2002-08-26 21:13:16",1,15,15
BA,Ba,15,"2002-05-30 19:46:44","2002-05-30 19:46:44",1,7,16
MA,Ma,16,"2007-10-13 02:22:44","2007-10-13 02:22:44",1,6,17
TZA,Tza,17,"2002-06-13 17:46:44","2002-06-13 17:46:44",1,4,18
TSA,Tsa,18,"2002-09-23 17:00:32","2002-09-23 17:00:32",1,9,19
DZA,Dza,19,"2002-05-30 19:46:44","2002-05-30 19:46:44",1,2,20
KA,Ka,1,"2002-06-24 23:12:46","2002-06-24 23:12:46",3,17,21
KHA,Kha,2,"2002-06-26 23:13:16","2002-06-26 23:13:16",3,18,22
GA,Ga,3,"2002-06-13 17:46:44","2002-06-13 17:46:44",3,1,23
NGA,Nga,4,"2002-08-26 21:13:16","2002-08-26 21:13:16",3,1,24
CA,Ca,5,"2002-06-26 23:13:16","2002-06-26 23:13:16",3,10,25
CHA,Cha,6,"2002-06-24 23:12:46","2002-06-24 23:12:46",3,10,26
KA,Ka,1,"2007-12-14 02:45:18","2007-12-14 02:45:18",4,9,27
KHA,Kha,2,"2006-03-07 10:04:38","2006-03-07 10:04:38",4,50,28
GA,Ga,3,"2006-04-10 11:36:28","2006-04-10 11:36:28",4,47,29
NGA,Nga,4,"2006-04-10 11:36:28","2006-04-10 11:36:28",4,3,30
CA,Ca,5,"2006-04-17 15:16:56","2006-04-17 15:16:56",4,13,31
CHA,Cha,6,"2002-01-01 02:18:36","2002-01-01 02:18:36",4,4,32
